datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy
2023-04-14 16:00:41.033840;ff:ff:ff:ff:ff:ff;fe:a0:01:c9:a9:a7;;1;-72;0;1506;2462;;;[0, 1, 50, 3, 45, 127, 255];[];2.0
2023-04-14 16:00:41.086630;ff:ff:ff:ff:ff:ff;52:6d:b5:1f:0d:c1;;1;-69;1;686;2417;;;[0, 1, 50, 3, 45, 127, 255];[];2.0
2023-04-14 16:00:48.476614;ff:ff:ff:ff:ff:ff;58:00:e3:ea:32:6b;Liteon Technology Corporation;0;-93;2;1557;2442;;SSID_04762478;[0, 1, 50];[];2.0
2023-04-14 16:00:48.486802;ff:ff:ff:ff:ff:ff;58:00:e3:ea:32:6b;Liteon Technology Corporation;0;-92;3;1558;2442;;SSID_04762478;[0, 1, 50];[];2.0
2023-04-14 16:00:49.490085;ff:ff:ff:ff:ff:ff;58:00:e3:ea:32:6b;Liteon Technology Corporation;0;-92;4;1606;2432;;SSID_04762478;[0, 1, 50];[];2.0
2023-04-14 16:00:49.500285;ff:ff:ff:ff:ff:ff;58:00:e3:ea:32:6b;Liteon Technology Corporation;0;-92;5;1607;2432;;SSID_04762478;[0, 1, 50];[];2.0
2023-04-14 16:00:52.878716;ff:ff:ff:ff:ff:ff;dc:fb:48:2a:52:e0;Intel Corporate;0;-42;6;3;2442;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:00:58.199632;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-46;7;7;2422;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:00:58.224032;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-45;8;8;2427;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:00:58.391266;ff:ff:ff:ff:ff:ff;dc:fb:48:2a:52:e0;Intel Corporate;0;-40;9;22;2442;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:01:00.817316;ff:ff:ff:ff:ff:ff;dc:fb:48:2a:52:e0;Intel Corporate;0;-40;10;51;2462;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:01:00.841553;ff:ff:ff:ff:ff:ff;dc:fb:48:2a:52:e0;Intel Corporate;0;-39;11;52;2462;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:01:03.406053;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-50;12;23;2447;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:01:03.873095;ff:ff:ff:ff:ff:ff;56:f0:7c:1d:d2:c7;;1;-92;13;1183;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 221];[20722];2.0
2023-04-14 16:01:03.884794;ff:ff:ff:ff:ff:ff;56:f0:7c:1d:d2:c7;;1;-92;14;1184;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 221];[20722];2.0
2023-04-14 16:01:06.846416;ff:ff:ff:ff:ff:ff;dc:fb:48:8c:71:fc;Intel Corporate;0;-53;15;46;2462;;;[0, 1, 50, 45, 127, 221];[5271450];2.0
2023-04-14 16:01:13.803983;ff:ff:ff:ff:ff:ff;56:f0:7c:1d:d2:c7;;1;-90;16;1198;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 221];[20722];2.0
