datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy;n_devices
2025-04-03 13:00:40.149436;ff:ff:ff:ff:ff:ff;4a:73:42:bd:70:31;;1;-84;0;901;2417;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:00:41.288913;ff:ff:ff:ff:ff:ff;22:77:d3:d3:1a:1a;;1;-79;1;3321;2417;;;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:00:42.334759;ff:ff:ff:ff:ff:ff;12:40:ec:33:f3:46;;1;-94;2;1144;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:00:43.740674;ff:ff:ff:ff:ff:ff;fc:de:90:25:cb:73;Samsung Electronics Co.,Ltd;0;-94;3;1008;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 221];[20722];0.0;nan
2025-04-03 13:00:48.670107;ff:ff:ff:ff:ff:ff;82:4d:3a:09:fa:3b;;1;-80;4;271;2442;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:48.693825;ff:ff:ff:ff:ff:ff;82:4d:3a:09:fa:3b;;1;-80;5;272;2442;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:49.023957;ff:ff:ff:ff:ff:ff;16:2c:3d:b5:57:a4;;1;-89;6;43;2422;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:49.736292;ff:ff:ff:ff:ff:ff;60:55:f9:a6:7e:26;Espressif Inc.;0;-53;7;92;2437;;SSID_28696760;[0, 1, 50];[];0.0;nan
2025-04-03 13:00:50.902320;ff:ff:ff:ff:ff:ff;22:99:7a:71:ea:ff;;1;-71;8;376;2447;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0;nan
2025-04-03 13:00:51.077250;ff:ff:ff:ff:ff:ff;22:99:7a:71:ea:ff;;1;-70;9;378;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];0.0;nan
2025-04-03 13:00:52.266374;ff:ff:ff:ff:ff:ff;9e:f4:9c:dd:06:c3;;1;-86;10;2791;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:52.358568;ff:ff:ff:ff:ff:ff;e6:8b:f9:83:eb:15;;1;-88;11;1126;2427;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:52.379741;ff:ff:ff:ff:ff:ff;e6:8b:f9:83:eb:15;;1;-87;12;1127;2427;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:00:55.236050;ff:ff:ff:ff:ff:ff;14:5a:fc:ac:36:fb;Liteon Technology Corporation;0;-91;13;277;2437;;;[0, 1, 45, 191, 255, 70, 127, 221];[5271450];0.0;nan
2025-04-03 13:00:55.528179;ff:ff:ff:ff:ff:ff;14:5a:fc:ac:36:fb;Liteon Technology Corporation;0;-90;14;382;2462;;;[0, 1, 45, 191, 255, 70, 127, 221];[5271450];0.0;nan
2025-04-03 13:00:55.529193;ff:ff:ff:ff:ff:ff;14:5a:fc:ac:36:fb;Liteon Technology Corporation;0;-90;15;386;2462;;SSID_58769017;[0, 1, 45, 191, 255, 70, 127, 221];[5271450];0.0;nan
2025-04-03 13:00:55.541155;ff:ff:ff:ff:ff:ff;14:5a:fc:ac:36:fb;Liteon Technology Corporation;0;-92;16;389;2462;;;[0, 1, 45, 191, 255, 70, 127, 221];[5271450];0.0;nan
2025-04-03 13:00:59.003199;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-72;17;1541;2432;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.069460;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-76;18;1544;2437;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.090021;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-76;19;1545;2437;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.200837;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-71;20;1550;2452;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.239081;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-70;21;1552;2452;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.259169;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-70;22;1553;2457;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.285046;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-67;23;1554;2457;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.306219;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-70;24;1555;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.346201;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-70;25;1557;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.368841;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-69;26;1558;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:00:59.389844;ff:ff:ff:ff:ff:ff;1c:e6:1d:7d:a4:0f;Samsung Electronics Co.,Ltd;0;-70;27;1559;2462;;;[0, 1, 50, 3, 45, 127, 191, 221, 255, 255];[20722];0.0;nan
2025-04-03 13:01:00.460693;ff:ff:ff:ff:ff:ff;8e:0d:e8:2e:0c:3d;;1;-93;28;3925;2462;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:00.480958;ff:ff:ff:ff:ff:ff;8e:0d:e8:2e:0c:3d;;1;-94;29;3926;2462;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:00.508630;ff:ff:ff:ff:ff:ff;4a:dd:76:f9:9a:b1;;1;-88;30;540;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:00.528873;ff:ff:ff:ff:ff:ff;4a:dd:76:f9:9a:b1;;1;-88;31;541;2417;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:00.676609;ff:ff:ff:ff:ff:ff;56:96:3e:a6:b2:1a;;1;-86;32;2839;2432;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];0.0;nan
2025-04-03 13:01:05.993689;ff:ff:ff:ff:ff:ff;04:ea:56:39:c1:7a;Intel Corporate;0;-91;33;364;2462;;;[0, 1, 50, 45, 127, 221];[5271450];0.0;nan
2025-04-03 13:01:09.558833;ff:ff:ff:ff:ff:ff;fc:de:90:25:cb:73;Samsung Electronics Co.,Ltd;0;-95;34;1165;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 221];[20722];0.0;nan
2025-04-03 13:01:10.820679;ff:ff:ff:ff:ff:ff;06:34:e2:b9:d4:eb;;1;-91;35;1717;2457;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
2025-04-03 13:01:11.514628;ff:ff:ff:ff:ff:ff;94:65:9c:58:74:73;Intel Corporate;0;-91;36;191;2417;;SSID_21301931;[0, 1, 50, 45];[];0.0;nan
2025-04-03 13:01:11.536859;ff:ff:ff:ff:ff:ff;da:a1:19:9b:b7:3f;Google, Inc.;1;-76;37;2918;2417;;;[0, 1, 3, 50, 45, 127, 221];[20722];0.0;nan
2025-04-03 13:01:11.554220;ff:ff:ff:ff:ff:ff;da:a1:19:9b:b7:3f;Google, Inc.;1;-83;38;2919;2422;;;[0, 1, 3, 50, 45, 127, 221];[20722];0.0;nan
2025-04-03 13:01:11.794625;ff:ff:ff:ff:ff:ff;da:a1:19:9b:b7:3f;Google, Inc.;1;-72;39;2926;2442;;;[0, 1, 3, 50, 45, 127, 221];[20722];0.0;nan
2025-04-03 13:01:13.051810;ff:ff:ff:ff:ff:ff;94:65:9c:58:74:73;Intel Corporate;0;-97;40;221;2462;;SSID_21301931;[0, 1, 50, 45];[];0.0;nan
2025-04-03 13:01:13.664400;ff:ff:ff:ff:ff:ff;42:bb:d3:44:15:4a;;1;-72;41;1628;2462;;;[0, 1, 50, 3, 45, 127, 255];[];0.0;nan
