datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:57:29.465487;ff:ff:ff:ff:ff:ff;36:fc:8d:91:72:36;;1;-68;0;3403;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];5.0
2024-02-29 14:57:29.654115;ff:ff:ff:ff:ff:ff;8e:0f:86:71:9a:c3;;1;-75;1;1678;2457;;;[0, 1, 50, 3, 45, 127, 255];[];5.0
2024-02-29 14:57:29.766513;ff:ff:ff:ff:ff:ff;52:42:91:8c:7d:5d;;1;-74;2;3763;2417;;;[0, 1, 50, 3, 45, 127, 255];[];5.0
2024-02-29 14:57:31.824051;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-74;3;35;2457;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:31.834527;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-75;4;36;2457;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:31.874238;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-73;5;38;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:31.895433;ff:ff:ff:ff:ff:ff;f6:06:b7:70:bb:9e;;1;-75;6;39;2462;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 221];[20722, 9240048];5.0
2024-02-29 14:57:31.923462;ff:ff:ff:ff:ff:ff;8e:1e:1b:b8:f9:6b;;1;-93;7;2435;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 107, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:32.068792;ff:ff:ff:ff:ff:ff;ea:e4:2a:a8:a4:17;;1;-69;8;479;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
2024-02-29 14:57:32.161341;ff:ff:ff:ff:ff:ff;ea:e4:2a:a8:a4:17;;1;-67;9;483;2437;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];5.0
